[
[(27, 0),(2604.0,2696.0),],
[(27, 0),(2604.0,2696.0),],
[(26, 0),(2572.0,2694.0),],
[(26, 0),(2572.0,2694.0),],
[(26, 0),(2587.0,2672.0),],
[(26, 0),(2587.0,2672.0),],
[(23, 0),(2481.0,2691.0),],
[(23, 0),(2481.0,2691.0),],
[(24, 0),(2494.0,2666.0),],
[(24, 0),(2494.0,2666.0),],
[(23, 0),(2463.0,2666.0),],
[(23, 0),(2463.0,2666.0),],
[(21, 1),(2407.0,2635.0),],
[(21, 1),(2407.0,2635.0),],
[(22, 2),(2430.0,2624.0),],
[(22, 2),(2430.0,2624.0),],
[(22, 2),(2430.0,2624.0),],
[(22, 2),(2430.0,2624.0),],
[(19, 1),(2324.0,2637.0),],
[(19, 1),(2324.0,2637.0),],
[(20, 2),(2343.0,2622.0),],
[(20, 2),(2343.0,2622.0),],
[(18, 1),(2296.0,2657.0),],
[(18, 1),(2296.0,2657.0),],
[(18, 0),(2280.0,2690.0),],
[(18, 0),(2280.0,2690.0),],
[(16, 0),(2216.0,2683.0),],
[(16, 0),(2216.0,2683.0),],
[(16, 0),(2197.0,2696.0),],
[(16, 0),(2197.0,2696.0),],
[(15, 0),(2180.0,2672.0),],
[(15, 0),(2180.0,2672.0),],
[(16, 1),(2201.0,2653.0),],
[(16, 1),(2201.0,2653.0),],
[(17, 1),(2264.0,2631.0),],
[(17, 1),(2264.0,2631.0),],
[(20, 2),(2340.0,2620.0),],
[(20, 2),(2340.0,2620.0),],
[(20, 2),(2369.0,2600.0),],
[(20, 2),(2369.0,2600.0),],
[(20, 3),(2365.0,2576.0),],
[(20, 3),(2365.0,2576.0),],
[(16, 5),(2209.0,2520.0),],
[(16, 5),(2209.0,2520.0),],
[(15, 4),(2189.0,2537.0),],
[(15, 4),(2189.0,2537.0),],
[(15, 5),(2182.0,2505.0),],
[(15, 5),(2182.0,2505.0),],
[(15, 5),(2186.0,2518.0),],
[(15, 5),(2186.0,2518.0),],
[(15, 5),(2186.0,2519.0),],
[(15, 3),(2162.0,2582.0),],
[(15, 3),(2162.0,2582.0),],
[(13, 1),(2100.0,2648.0),],
[(13, 1),(2100.0,2648.0),],
[(13, 0),(2089.0,2666.0),],
[(13, 0),(2089.0,2666.0),],
[(12, 0),(2078.0,2692.0),],
[(12, 0),(2078.0,2692.0),],
[(10, 0),(1994.0,2689.0),],
[(10, 0),(1994.0,2689.0),],
[(10, 1),(1997.0,2659.0),],
[(10, 1),(1997.0,2659.0),],
[(10, 1),(2013.0,2649.0),],
[(10, 1),(2013.0,2649.0),],
[(11, 2),(2048.0,2602.0),],
[(11, 2),(2048.0,2602.0),],
[(12, 2),(2067.0,2613.0),],
[(12, 2),(2067.0,2613.0),],
[(12, 3),(2061.0,2571.0),],
[(12, 3),(2061.0,2571.0),],
[(12, 4),(2086.0,2549.0),],
[(12, 4),(2086.0,2549.0),],
[(12, 4),(2071.0,2547.0),],
[(12, 4),(2071.0,2547.0),],
[(13, 5),(2105.0,2493.0),],
[(13, 5),(2105.0,2493.0),],
[(13, 5),(2106.0,2520.0),],
[(13, 5),(2106.0,2520.0),],
[(8, 5),(1908.0,2496.0),],
[(8, 5),(1908.0,2496.0),],
[(8, 5),(1908.0,2496.0),],
[(6, 6),(1861.0,2484.0),],
[(6, 6),(1861.0,2484.0),],
[(7, 6),(1882.0,2468.0),],
[(7, 6),(1882.0,2468.0),],
[(8, 6),(1912.0,2464.0),],
[(8, 6),(1912.0,2464.0),],
[(6, 7),(1861.0,2444.0),],
[(6, 7),(1861.0,2444.0),],
[(6, 7),(1864.0,2417.0),],
[(6, 7),(1864.0,2417.0),],
[(7, 9),(1895.0,2364.0),],
[(7, 9),(1895.0,2364.0),],
[(9, 7),(1953.0,2416.0),],
[(9, 7),(1953.0,2416.0),],
[(10, 5),(1997.0,2519.0),],
[(10, 5),(1997.0,2519.0),],
[(9, 4),(1979.0,2528.0),],
[(9, 4),(1979.0,2528.0),],
[(11, 6),(2034.0,2472.0),],
[(11, 6),(2034.0,2472.0),],
[(11, 7),(2041.0,2436.0),],
[(11, 7),(2041.0,2436.0),],
[(12, 8),(2074.0,2384.0),],
[(12, 8),(2074.0,2384.0),],
[(13, 9),(2092.0,2358.0),],
[(13, 9),(2092.0,2358.0),],
[(4, 0),(1792.0,2697.0),],
[(4, 0),(1792.0,2697.0),],
[(5, 0),(1807.0,2679.0),],
[(5, 0),(1807.0,2679.0),],
[(5, 1),(1824.0,2658.0),],
[(5, 1),(1824.0,2658.0),],
[(5, 1),(1826.0,2651.0),],
[(5, 1),(1826.0,2651.0),],
[(7, 0),(1898.0,2688.0),],
[(7, 0),(1898.0,2688.0),],
[(8, 2),(1925.0,2628.0),],
[(8, 2),(1925.0,2628.0),],
[(9, 2),(1957.0,2604.0),],
[(9, 2),(1957.0,2604.0),],
[(9, 3),(1958.0,2575.0),],
[(9, 3),(1958.0,2575.0),],
[(9, 4),(1960.0,2546.0),],
[(9, 4),(1960.0,2546.0),],
[(6, 1),(1861.0,2634.0),],
[(6, 1),(1861.0,2634.0),],
[(6, 2),(1856.0,2602.0),],
[(6, 2),(1856.0,2602.0),],
[(6, 3),(1857.0,2574.0),],
[(6, 3),(1857.0,2574.0),],
[(3, 2),(1751.0,2602.0),],
[(3, 2),(1751.0,2602.0),],
[(4, 3),(1769.0,2577.0),],
[(4, 3),(1769.0,2577.0),],
[(4, 4),(1791.0,2555.0),],
[(4, 4),(1791.0,2555.0),],
[(4, 4),(1799.0,2529.0),],
[(4, 4),(1799.0,2529.0),],
[(3, 3),(1744.0,2574.0),],
[(3, 3),(1744.0,2574.0),],
[(2, 4),(1707.0,2525.0),],
[(2, 4),(1707.0,2525.0),],
[(2, 0),(1712.0,2687.0),],
[(2, 0),(1712.0,2687.0),],
[(2, 1),(1700.0,2653.0),],
[(2, 1),(1700.0,2653.0),],
[(1, 1),(1663.0,2629.0),],
[(1, 1),(1663.0,2629.0),],
[(0, 1),(1641.0,2631.0),],
[(0, 1),(1641.0,2631.0),],
[(1, 2),(1671.0,2596.0),],
[(1, 2),(1671.0,2596.0),],
[(0, 3),(1638.0,2580.0),],
[(0, 3),(1638.0,2580.0),],
[(0, 2),(1637.0,2596.0),],
[(0, 2),(1637.0,2596.0),],
[(2, 5),(1704.0,2498.0),],
[(2, 5),(1704.0,2498.0),],
[(2, 6),(1698.0,2475.0),],
[(2, 6),(1698.0,2475.0),],
[(0, 6),(1648.0,2468.0),],
[(0, 6),(1648.0,2468.0),],
[(0, 6),(1648.0,2468.0),],
[(1, 6),(1685.0,2449.0),],
[(1, 6),(1685.0,2449.0),],
[(0, 7),(1646.0,2442.0),],
[(0, 7),(1646.0,2442.0),],
[(0, 7),(1647.0,2442.0),],
[(1, 7),(1665.0,2414.0),],
[(1, 7),(1665.0,2414.0),],
[(4, 7),(1769.0,2413.0),],
[(4, 7),(1769.0,2413.0),],
[(4, 8),(1792.0,2381.0),],
[(4, 8),(1792.0,2381.0),],
[(5, 9),(1808.0,2349.0),],
[(5, 9),(1808.0,2349.0),],
[(10, 9),(2002.0,2346.0),],
[(10, 9),(2002.0,2346.0),],
[(10, 10),(2011.0,2326.0),],
[(10, 10),(2011.0,2326.0),],
[(13, 10),(2095.0,2333.0),],
[(13, 10),(2095.0,2333.0),],
[(13, 10),(2111.0,2325.0),],
[(13, 10),(2111.0,2325.0),],
[(14, 8),(2153.0,2409.0),],
[(14, 8),(2153.0,2409.0),],
[(16, 9),(2202.0,2366.0),],
[(16, 9),(2202.0,2366.0),],
[(16, 10),(2215.0,2336.0),],
[(16, 10),(2215.0,2336.0),],
[(15, 10),(2191.0,2333.0),],
[(15, 10),(2191.0,2333.0),],
[(18, 6),(2298.0,2466.0),],
